Date Taken (America/New_York),Time Taken (America/New_York),Time Spent,Q1 - Which Title Best Fits your Current Role?,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?,Q5 - Favorite Programming Language,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?,Q12 - Highest Level of Education,Q13 - Ethnicity
6/10/2022,10:25,0:22:47,business analyst,no,53.0,wholesale,r,3.0,4.0,5.0,5.0,4.0,3.0,difficult,better salary,male,24,United states,masters,white or caucasian
6/10/2022,10:27,0:01:20,data analyst,no,53.0,healthcare,r,1.0,4.0,3.0,2.0,0.0,6.0,difficult,better salary,male,25,United kingdom,masters,asian or asian american
6/10/2022,10:27,0:01:24,data engineer,no,95.5,healthcare,r,8.0,10.0,8.0,8.0,9.0,10.0,neither easy nor difficult,good culture,male,28,United states,masters,black or african american
6/10/2022,10:29,0:02:07,data analyst,yes,53.0,energy ,python,5.0,5.0,7.0,7.0,7.0,7.0,easy,better salary,male,32,United kingdom,bachelors,white or caucasian
6/10/2022,10:29,0:01:34,data analyst,yes,53.0,government programs,python,0.0,7.0,7.0,7.0,0.0,7.0,easy,good culture,male,29,United states,bachelors,asian or asian american
6/10/2022,10:33,0:02:50,data analyst,no,53.0,healthcare,r,7.0,5.0,8.0,6.0,5.0,10.0,difficult,"want to move from australia to canada, so position in desired country ",female,26,Australiaalia,masters,white or caucasian
6/10/2022,10:37,0:03:01,data engineer,yes,53.0,tech,python,0.0,7.0,5.0,0.0,0.0,7.0,neither easy nor difficult,remote work,male,37,Canada,masters,white or caucasian
6/10/2022,10:39,0:01:44,data analyst,no,53.0,supply chain,r,4.0,6.0,5.0,4.0,5.0,6.0,neither easy nor difficult,better salary,male,25,United states,bachelors,white or caucasian
6/10/2022,10:40,0:01:36,data analyst,no,20.0,finance,sql,4.0,4.0,5.0,6.0,6.0,0.0,difficult,better salary,male,24,Israel,high school,white or caucasian
6/10/2022,10:41,0:02:45,data analyst manager,no,137.5,finance,sql,7.0,8.0,8.0,8.0,7.0,8.0,easy,better salary,male,52,United states,bachelors,white or caucasian
6/10/2022,10:43,0:04:22,data analyst,yes,53.0,finance,python,6.0,10.0,3.0,5.0,0.0,10.0,difficult,good culture,male,27,Singapore,bachelors,asian or asian american
6/10/2022,10:47,0:01:07,data analyst,no,115.5,healthcare,other,6.0,6.0,3.0,3.0,3.0,3.0,neither easy nor difficult,better salary,female,29,United states,masters,white or caucasian
6/10/2022,10:50,0:01:39,student/looking/none,no,20.0,tech,python,3.0,7.0,6.0,7.0,0.0,0.0,difficult,better salary,male,42,Brazil,associates,white or caucasian
6/10/2022,10:52,0:01:24,data analyst,yes,53.0,telecommunication,r,3.0,5.0,6.0,4.0,3.0,7.0,difficult,all of the options are important to me when looking for a new job,male,28,United states,masters,white or caucasian
6/10/2022,10:52,0:02:39,data analyst,yes,20.0,tech,python,8.0,8.0,8.0,8.0,8.0,9.0,neither easy nor difficult,good work/life balance,male,44,Costa rica,bachelors,hispanic or latino
6/10/2022,10:53,0:01:30,data engineer,yes,20.0,tech,python,5.0,5.0,6.0,5.0,6.0,7.0,neither easy nor difficult,remote work,male,23,Spain,bachelors,white or caucasian
6/10/2022,10:53,0:01:14,data analyst,no,53.0,entertainment,r,1.0,2.0,6.0,4.0,2.0,0.0,easy,better salary,male,27,United states,bachelors,hispanic or latino
6/10/2022,10:54,0:01:05,data analyst,no,75.5,construction,python,3.0,3.0,3.0,2.0,2.0,1.0,neither easy nor difficult,good culture,male,26,United states,masters,white or caucasian
6/10/2022,10:55,0:01:14,data analyst,yes,95.5,healthcare,vba,3.0,4.0,4.0,4.0,1.0,3.0,neither easy nor difficult,better salary,male,27,United states,masters,hispanic or latino
6/10/2022,10:56,0:01:45,data analyst,yes,75.5,retail,python,0.0,0.0,7.0,1.0,0.0,9.0,difficult,better salary,male,33,Canada,bachelors,asian or asian american
6/10/2022,10:56,0:01:44,data analyst,yes,75.5,aerospace,python,8.0,10.0,10.0,10.0,10.0,10.0,easy,better salary,male,28,United states,bachelors,hispanic or latino
6/10/2022,11:00,0:01:29,data analyst,yes,20.0,tech,r,2.0,8.0,8.0,7.0,6.0,9.0,neither easy nor difficult,better salary,male,32,Kenya,bachelors,black or african american
6/10/2022,11:04,0:02:38,student/looking/none,yes,53.0,foodservice franchising,python,2.0,4.0,6.0,1.0,1.0,1.0,very difficult,better salary,male,34,Canada,associates,asian or asian american
6/10/2022,11:04,0:01:04,data analyst,no,187.5,tech,python,10.0,10.0,10.0,8.0,10.0,10.0,easy,good work/life balance,male,28,United states,bachelors,asian or asian american
6/10/2022,11:09,0:01:51,data scientist,yes,137.5,telecommunication,python,2.0,4.0,1.0,3.0,1.0,7.0,neither easy nor difficult,better salary,male,27,India,bachelors,indian
6/10/2022,11:09,0:01:35,data engineer,yes,53.0,finance,python,2.0,4.0,5.0,5.0,4.0,6.0,difficult,better salary,male,22,United states,bachelors,white or caucasian
6/10/2022,11:11,0:01:03,data analyst,no,75.5,healthcare,python,3.0,3.0,4.0,1.0,2.0,2.0,neither easy nor difficult,better salary,male,29,United states,masters,white or caucasian
6/10/2022,11:13,0:02:17,data analyst,no,75.5,healthcare,python,8.0,10.0,10.0,8.0,5.0,7.0,neither easy nor difficult,good work/life balance,female,31,United states,masters,white or caucasian
6/10/2022,11:13,0:01:39,data analyst,no,75.5,tech,python,4.0,5.0,5.0,5.0,4.0,4.0,easy,remote work,male,28,United states,bachelors,white or caucasian
6/10/2022,11:14,0:00:53,student/looking/none,no,20.0,healthcare,python,0.0,0.0,0.0,0.0,0.0,0.0,neither easy nor difficult,good work/life balance,male,24,United states,masters,asian or asian american
6/10/2022,11:15,0:01:19,data analyst,no,95.5,government ,stata,4.0,5.0,3.0,4.0,2.0,3.0,easy,good culture,male,34,United states,masters,white or caucasian
6/10/2022,11:18,0:01:16,data engineer,no,95.5,tech,python,5.0,3.0,5.0,5.0,4.0,5.0,difficult,better salary,male,23,United states,bachelors,white or caucasian
6/10/2022,11:18,0:02:08,student/looking/none,no,53.0,construction,excel,10.0,4.0,10.0,10.0,4.0,10.0,neither easy nor difficult,remote work,male,32,Belgium,masters,white or caucasian
6/10/2022,11:20,0:01:31,data analyst,yes,20.0,healthcare,r,6.0,8.0,6.0,6.0,8.0,10.0,easy,remote work,male,29,Argentina,high school,hispanic or latino
6/10/2022,11:22,0:01:39,data analyst,yes,20.0,education,python,0.0,0.0,0.0,0.0,0.0,0.0,very difficult,better salary,male,34,Nigeria,bachelors,black or african american
6/10/2022,11:22,0:00:55,data analyst,no,75.5,finance,python,7.0,5.0,5.0,7.0,9.0,10.0,very easy,remote work,male,24,United kingdom,bachelors,white or caucasian
6/10/2022,11:23,0:02:19,analyst,no,75.5,tech,python,0.0,10.0,6.0,0.0,0.0,0.0,difficult,better salary,male,30,United states,bachelors,indian
6/10/2022,11:25,0:01:59,analytics engineer,no,95.5,entertainment ,python,5.0,5.0,6.0,4.0,5.0,5.0,difficult,better salary,male,24,United states,masters,hispanic or latino
6/10/2022,11:25,0:01:52,data analyst,yes,53.0,insurance,python,6.0,8.0,10.0,9.0,7.0,9.0,easy,better salary,male,27,United states,bachelors,n/a
6/10/2022,11:29,0:03:30,data analyst,no,20.0,finance,python,1.0,2.0,4.0,4.0,4.0,5.0,neither easy nor difficult,better salary,male,21,India,bachelors,asian or asian american
6/10/2022,11:40,0:02:38,data analyst,yes,20.0,telecommunication,r,5.0,7.0,5.0,5.0,5.0,7.0,difficult,better salary,male,41,Egypt,bachelors,white or caucasian
6/10/2022,11:45,0:02:07,data analyst,yes,20.0,tech,python,0.0,1.0,1.0,0.0,0.0,2.0,difficult,better salary,male,25,India,bachelors,asian or asian american
6/10/2022,11:46,0:03:59,data analyst,no,20.0,finance,na,4.0,7.0,8.0,8.0,8.0,9.0,neither easy nor difficult,an environment that encourages growth like where i work currently and better salary ,male,24,Nigeria,bachelors,black or african american
6/10/2022,11:47,0:02:01,data analyst,no,20.0,finance,python,6.0,5.0,6.0,5.0,6.0,6.0,neither easy nor difficult,better salary,male,30,Somalia,masters,african 
6/10/2022,11:49,0:02:40,data analyst,no,75.5,energy (oil and gas),altery,7.0,4.0,10.0,9.0,7.0,10.0,difficult,better salary,male,23,United states,bachelors,hispanic or latino
6/10/2022,11:49,0:01:34,data analyst,yes,75.5,tech,python,6.0,6.0,6.0,6.0,6.0,6.0,difficult,remote work,female,33,United kingdom,masters,asian or asian american
6/10/2022,11:50,0:00:48,data analyst,no,115.5,finance,python,4.0,4.0,4.0,4.0,4.0,4.0,neither easy nor difficult,better salary,male,25,United states,bachelors,white or caucasian
6/10/2022,11:51,0:00:57,data analyst,no,20.0,market research,python,5.0,5.0,5.0,5.0,5.0,5.0,neither easy nor difficult,remote work,female,27,Kosovo,masters,white or caucasian
6/10/2022,11:53,0:01:45,data analyst,yes,20.0,finance,c/c++,5.0,10.0,10.0,8.0,10.0,10.0,very easy,good work/life balance,male,30,United kingdom,bachelors,white or caucasian
6/10/2022,11:55,0:03:43,analyst primary market intelligence,yes,20.0,healthcare,python,10.0,2.0,8.0,5.0,0.0,6.0,easy,better salary,male,25,India,masters,indian
6/10/2022,11:55,0:01:28,data analyst,no,95.5,telecommunication,na,7.0,7.0,5.0,7.0,7.0,7.0,easy,remote work,male,40,United states,high school,hispanic or latino
6/10/2022,12:01,0:02:59,data analyst,no,53.0,government,other,6.0,10.0,8.0,8.0,4.0,4.0,neither easy nor difficult,better salary,female,29,Canada,bachelors,other (please specify)
6/10/2022,12:03,0:01:40,data analyst,yes,20.0,education,python,1.0,2.0,2.0,3.0,3.0,4.0,neither easy nor difficult,better salary,male,28,Nigeria,masters,black or african american
6/10/2022,12:04,0:02:21,software engineer,no,95.5,hospitality,c#,5.0,2.0,0.0,2.0,0.0,0.0,neither easy nor difficult,good work/life balance,male,34,United kingdom,bachelors,white or caucasian
6/10/2022,12:10,0:02:58,student/looking/none,no,20.0,tech,python,0.0,4.0,7.0,6.0,7.0,8.0,easy,learning possibilities,male,24,Belgium,masters,white or caucasian
6/10/2022,12:11,0:02:23,data analyst,yes,20.0,telecommunication,python,5.0,8.0,8.0,9.0,7.0,9.0,very easy,better salary,male,26,Iraq,bachelors,kurdish
6/10/2022,12:16,0:01:21,data analyst,no,137.5,tech,python,10.0,5.0,10.0,10.0,6.0,10.0,difficult,good work/life balance,male,28,United states,bachelors,hispanic or latino
6/10/2022,12:16,0:00:59,student/looking/none,no,20.0,education,r,5.0,4.0,4.0,4.0,5.0,5.0,difficult,good work/life balance,male,25,Germany,masters,white or caucasian
6/10/2022,12:23,0:02:52,data analyst,yes,20.0,tech,python,1.0,4.0,9.0,7.0,8.0,10.0,easy,better salary,male,33,Colombia,bachelors,hispanic or latino
6/10/2022,12:23,0:01:01,data analyst,yes,75.5,finance,python,4.0,4.0,6.0,3.0,4.0,0.0,neither easy nor difficult,remote work,male,30,Irelandlandand,masters,white or caucasian
6/10/2022,12:25,0:02:51,data analyst,yes,20.0,finance,python,1.0,1.0,1.0,1.0,1.0,1.0,very difficult,better salary,male,35,India,bachelors,indian
6/10/2022,12:28,0:01:57,data analyst,no,20.0,automotive,na,5.0,2.0,5.0,5.0,3.0,4.0,difficult,better salary,male,25,Romania,bachelors,white or caucasian
6/10/2022,12:29,0:01:21,data analyst,no,20.0,real estate,python,4.0,7.0,9.0,5.0,2.0,8.0,easy,better salary,male,23,Spain,bachelors,white or caucasian
6/10/2022,12:32,0:02:10,data engineer,no,20.0,healthcare,python,6.0,6.0,6.0,5.0,4.0,7.0,neither easy nor difficult,good work/life balance,male,24,Mexico,bachelors,hispanic or latino
6/10/2022,12:40,0:02:40,data analyst,yes,187.5,education,sql,8.0,9.0,9.0,7.0,6.0,6.0,neither easy nor difficult,better salary,male,27,United states,masters,black or african american
6/10/2022,12:47,0:01:24,data analyst,yes,75.5,chemical manufacturing,python,4.0,10.0,10.0,8.0,5.0,6.0,neither easy nor difficult,remote work,male,32,United states,bachelors,asian or asian american
6/10/2022,12:55,0:01:55,data analyst,yes,53.0,tech,python,3.0,5.0,4.0,4.0,4.0,4.0,neither easy nor difficult,good work/life balance,male,50,Canada,bachelors,white or caucasian
6/10/2022,12:55,0:01:25,data architect,yes,75.5,poultry,python,7.0,7.0,8.0,9.0,10.0,10.0,neither easy nor difficult,remote work,male,29,United states,high school,white or caucasian
6/10/2022,12:57,0:03:54,data analyst,yes,20.0,telecommunication,r,2.0,8.0,7.0,6.0,5.0,6.0,neither easy nor difficult,good work/life balance,male,41,Peru,bachelors,hispanic or latino
6/10/2022,12:58,0:01:54,data integrity,no,20.0,renewable resources,r,1.0,7.0,7.0,1.0,4.0,10.0,neither easy nor difficult,better salary,male,23,United states,associates,white or caucasian
6/10/2022,13:07,0:03:34,data analyst,yes,20.0,finance,python,4.0,7.0,8.0,7.0,8.0,8.0,difficult,better salary,male,31,Nigeria,bachelors,black or african american
6/10/2022,13:08,0:01:27,data analyst,no,20.0,healthcare,python,0.0,10.0,10.0,10.0,10.0,10.0,difficult,better salary,male,22,Philippines,bachelors,native hawaiian or other pacific islander
6/10/2022,13:08,0:01:51,data analyst,no,75.5,finance,python,3.0,5.0,5.0,5.0,3.0,3.0,very difficult,better salary,male,29,United states,masters,hispanic or latino
6/10/2022,13:09,0:02:04,data scientist,yes,20.0,tech,python,4.0,4.0,4.0,0.0,0.0,6.0,difficult,good culture,male,23,Malaysia,bachelors,indian
6/10/2022,13:12,0:01:25,student/looking/none,no,20.0,customer service ,na,0.0,0.0,1.0,1.0,0.0,1.0,neither easy nor difficult,remote work,female,24,United states,high school,hispanic or latino
6/10/2022,13:13,0:02:09,data analyst,yes,75.5, manufacturering ,python,5.0,9.0,10.0,10.0,5.0,10.0,neither easy nor difficult,better salary,male,26,United states,bachelors,black or african american
6/10/2022,13:16,0:01:30,student/looking/none,yes,20.0,finance,python,4.0,3.0,5.0,2.0,2.0,3.0,difficult,good culture,male,31,India,bachelors,asian or asian american
6/10/2022,13:20,0:01:31,data analyst,yes,20.0,sports,python,1.0,1.0,1.0,1.0,7.0,9.0,neither easy nor difficult,remote work,male,22,Nigeria,bachelors,black or african american
6/10/2022,13:29,0:02:32,data analyst,yes,75.5,fashion/online store,python,7.0,8.0,10.0,8.0,7.0,5.0,neither easy nor difficult,remote work,male,31,Germany,bachelors,white or caucasian
6/10/2022,13:31,0:01:21,student/looking/none,yes,20.0,tech,python,0.0,4.0,0.0,0.0,4.0,5.0,neither easy nor difficult,better salary,male,27,United states,masters,asian or asian american
6/10/2022,13:32,0:01:32,student/looking/none,no,20.0,i am a student,python,1.0,1.0,2.0,1.0,1.0,1.0,difficult,better salary,female,25,United states,bachelors,asian or asian american
6/10/2022,13:37,0:24:18,data analyst,yes,20.0,healthcare,python,4.0,10.0,10.0,8.0,8.0,10.0,easy,good work/life balance,male,30,Colombia,masters,hispanic or latino
6/10/2022,13:39,0:01:44,data analyst,yes,53.0,healthcare,r,0.0,6.0,5.0,6.0,0.0,2.0,easy,opportunities for growth ,male,28,United states,masters,hispanic or latino
6/10/2022,13:40,0:01:37,data analyst,no,137.5,finance,python,6.0,6.0,5.0,4.0,2.0,4.0,easy,remote work,male,26,United states,bachelors,white or caucasian
6/10/2022,13:51,0:01:40,data scientist,yes,137.5,retail,python,6.0,7.0,7.0,10.0,6.0,7.0,neither easy nor difficult,remote work,female,32,United states,masters,white or caucasian
6/10/2022,13:52,0:02:41,data analyst,yes,20.0,marketing ,sql,3.0,5.0,6.0,4.0,6.0,6.0,neither easy nor difficult,better salary,female,40,Poland,phd,white or caucasian
6/10/2022,13:54,0:02:38,data engineer,yes,20.0,manufacturing,python,4.0,7.0,7.0,6.0,8.0,7.0,neither easy nor difficult,better salary,male,36,Singapore,associates,asian or asian american
6/10/2022,13:54,0:01:29,data analyst,yes,75.5,finance,python,6.0,10.0,9.0,9.0,9.0,10.0,difficult,better salary,male,35,United states,bachelors,hispanic or latino
6/10/2022,13:56,0:00:59,data analyst,yes,75.5,tech,python,3.0,4.0,4.0,4.0,5.0,5.0,very difficult,good work/life balance,male,29,United states,masters,asian or asian american
6/10/2022,13:56,0:04:08,data analyst,no,53.0,finance,python,6.0,5.0,9.0,9.0,7.0,5.0,neither easy nor difficult,"i just started and i don't like programming so much, so i would search for a more ""impactiful"" role. meaning: being able to take decisions that steer the business.",female,25,Germany,masters,hispanic or latino
6/10/2022,13:56,0:02:05,database developer,yes,53.0,hospitality ,python,6.0,8.0,8.0,9.0,6.0,8.0,difficult,remote work,male,29,United states,bachelors,white or caucasian
6/10/2022,14:01,0:02:04,data analyst,no,95.5,agriculture,python,7.0,6.0,7.0,4.0,5.0,8.0,difficult,good work/life balance,male,26,United states,bachelors,black or african american
6/10/2022,14:01,0:02:02,data analyst,no,20.0,marketing,r,1.0,1.0,1.0,1.0,1.0,1.0,neither easy nor difficult,remote work,male,34,Ghana,bachelors,black or african american
6/10/2022,14:02,0:01:27,data analyst,yes,20.0,finance,python,5.0,2.0,5.0,4.0,3.0,5.0,neither easy nor difficult,good work/life balance,male,26,Egypt,bachelors,white or caucasian
6/10/2022,14:05,0:02:11,data analyst,no,20.0,tech,python,3.0,3.0,5.0,4.0,3.0,2.0,difficult,good opportunities in projects and learnjng,female,22,India,bachelors,asian or asian american
6/10/2022,14:09,0:01:40,student/looking/none,yes,20.0,construction,python,0.0,2.0,0.0,1.0,1.0,2.0,very difficult,remote work,female,24,Kenya,bachelors,black or african american
6/10/2022,14:12,0:03:09,data analyst,no,20.0,medical industry ,python,3.0,6.0,6.0,6.0,4.0,3.0,neither easy nor difficult,better salary,male,26,Costa rica,bachelors,hispanic or latino
6/10/2022,14:12,0:03:13,data architect,yes,20.0,finance,python,5.0,6.0,2.0,3.0,3.0,5.0,very difficult,good work/life balance,female,34,Portugal,masters,white or caucasian
6/10/2022,14:13,0:02:27,data analyst,no,20.0,tech,python,3.0,5.0,4.0,5.0,4.0,2.0,neither easy nor difficult,better salary,male,29,India,bachelors,asian or asian american
6/10/2022,14:14,0:01:27,data scientist,no,20.0,tech,r,2.0,7.0,7.0,7.0,7.0,7.0,easy,better salary,male,21,Nigeria,bachelors,black or african american
6/10/2022,14:14,0:02:47,financial analyst,no,20.0,management,python,2.0,4.0,5.0,3.0,1.0,1.0,neither easy nor difficult,good work/life balance,female,35,Macedonia,masters,white or caucasian
6/10/2022,14:15,0:01:43,data analyst,no,53.0,education,python,7.0,7.0,8.0,8.0,6.0,7.0,neither easy nor difficult,good work/life balance,male,26,United states,bachelors,black or african american
6/10/2022,14:16,0:01:42,data analyst,yes,53.0,warehouse,python,2.0,4.0,7.0,10.0,5.0,10.0,neither easy nor difficult,remote work,male,28,United states,bachelors,white or caucasian
6/10/2022,14:23,0:02:02,database manager,no,53.0,non profit animal welfare,python,1.0,5.0,5.0,1.0,0.0,3.0,easy,better salary,female,33,United states,bachelors,white or caucasian
6/10/2022,14:25,0:01:57,data analyst,yes,75.5,consulting,sql,7.0,6.0,5.0,7.0,4.0,4.0,easy,better salary,female,56,United states,bachelors,white or caucasian
6/10/2022,14:41,0:01:16,data scientist,yes,137.5,healthcare,python,4.0,5.0,5.0,5.0,4.0,5.0,difficult,better salary,male,28,United states,masters,white or caucasian
6/10/2022,14:42,0:01:44,student/looking/none,no,20.0,none,javascript,0.0,0.0,0.0,0.0,0.0,10.0,neither easy nor difficult,remote work,male,21,Egypt,high school,white or caucasian
6/10/2022,14:43,0:02:14,student/looking/none,no,75.5,social work ,python,2.0,2.0,4.0,1.0,2.0,1.0,neither easy nor difficult,good work/life balance,male,35,United states,masters,black or african american
6/10/2022,14:43,0:01:25,data analyst,no,53.0,healthcare,python,7.0,5.0,9.0,9.0,9.0,8.0,neither easy nor difficult,remote work,male,29,Irelandland,masters,asian or asian american
6/10/2022,14:47,0:01:18,data analyst,no,95.5,tech,python,9.0,10.0,8.0,8.0,7.0,7.0,neither easy nor difficult,projects i’m interested in,female,23,United states,bachelors,asian or asian american
6/10/2022,14:48,0:03:06,tableau admin,no,53.0,finance,python,3.0,3.0,3.0,0.0,0.0,1.0,difficult,good work/life balance,male,25,India,bachelors,asian or asian american
6/10/2022,14:51,0:01:36,data engineer,yes,95.5,e-commerce,python,8.0,7.0,10.0,9.0,10.0,10.0,easy,better salary,male,27,United states,masters,white or caucasian
6/10/2022,14:53,0:01:54,data analyst,no,20.0,tech,python,3.0,8.0,7.0,5.0,8.0,7.0,neither easy nor difficult,better salary,male,22,India,bachelors,indian
6/10/2022,14:58,0:02:02,data analyst,yes,20.0,it,python,6.0,3.0,5.0,7.0,5.0,7.0,neither easy nor difficult,good work/life balance,male,22,India,bachelors,asian or asian american
6/10/2022,15:01,0:01:41,other,no,115.5,other (please specify),java,7.0,7.0,4.0,5.0,5.0,4.0,neither easy nor difficult,better salary,male,43,United states,masters,asian or asian american
6/10/2022,15:03,0:05:13,reporting administrator,yes,20.0,tech,python,3.0,5.0,8.0,4.0,5.0,5.0,difficult,better salary,female,32,United states,bachelors,asian or asian american
6/10/2022,15:11,0:01:40,billing analyst,no,75.5,legal,python,4.0,6.0,2.0,3.0,3.0,2.0,very difficult,remote work,male,31,United states,bachelors,hispanic or latino
6/10/2022,15:14,0:01:20,data engineer,no,20.0,media & advertising ,python,0.0,10.0,10.0,5.0,0.0,3.0,neither easy nor difficult,better salary,male,25,United kingdom,bachelors,white or caucasian
6/10/2022,15:14,0:01:49,data analyst,no,53.0,agriculture,sql,3.0,5.0,5.0,5.0,3.0,2.0,neither easy nor difficult,better salary,female,25,United states,masters,asian or asian american
6/10/2022,15:14,0:01:27,data analyst,yes,115.5,aviation,sas,9.0,9.0,9.0,6.0,9.0,8.0,difficult,good work/life balance,male,31,United states,masters,asian or asian american
6/10/2022,15:23,0:01:23,data scientist,yes,20.0,education,python,3.0,3.0,1.0,1.0,1.0,6.0,difficult,better salary,male,36,Morocco,masters,white or caucasian
6/10/2022,15:25,0:02:24,data analyst,no,53.0,healthcare,python,6.0,8.0,8.0,8.0,8.0,10.0,neither easy nor difficult,good work/life balance,female,35,Bulgaria,masters,white or caucasian
6/10/2022,15:27,0:01:40,data analyst,yes,75.5,utilities,r,6.0,10.0,10.0,10.0,9.0,8.0,easy,remote work,male,28,United states,bachelors,white or caucasian
6/10/2022,15:28,0:01:55,data analyst,no,20.0,audit firm,python,8.0,8.0,9.0,9.0,8.0,7.0,neither easy nor difficult,better salary,male,27,Peru,bachelors,hispanic or latino
6/10/2022,15:30,0:01:23,data analyst,yes,20.0,sports,python,7.0,4.0,7.0,4.0,8.0,10.0,easy,good work/life balance,male,25,Costa rica,bachelors,hispanic or latino
6/10/2022,15:39,0:01:59,data analyst,no,20.0,e-commerce,python,6.0,6.0,10.0,8.0,6.0,8.0,neither easy nor difficult,better salary,male,25,Poland,bachelors,white or caucasian
6/10/2022,15:41,0:01:10,marketing data specialist,no,53.0,sports/marketing,r,5.0,5.0,5.0,5.0,5.0,5.0,difficult,good work/life balance,male,22,United states,masters,white or caucasian
6/10/2022,15:51,0:03:49,data analyst,yes,53.0,healthcare,na,7.0,8.0,8.0,4.0,6.0,8.0,neither easy nor difficult,good culture,male,38,Germany,high school,white or caucasian
6/10/2022,15:55,0:01:47,data analyst,yes,20.0,education,python,0.0,0.0,5.0,0.0,0.0,0.0,difficult,good culture,male,27,Kenya,bachelors,black or african american
6/10/2022,15:57,0:02:55,data analyst,yes,95.5,consulting,na,4.0,4.0,2.0,2.0,2.0,2.0,easy,remote work,female,34,Canada,bachelors,black or african american
6/10/2022,16:03,0:01:45,data analyst,yes,75.5,nonprofit,python,9.0,10.0,10.0,9.0,8.0,10.0,difficult,better salary,female,31,United states,bachelors,white or caucasian
6/10/2022,16:09,0:03:52,data analyst,yes,53.0,tech,python,4.0,9.0,8.0,8.0,6.0,10.0,neither easy nor difficult,better salary,female,33,Canada,masters,black or african american
6/10/2022,16:22,0:00:59,student/looking/none,yes,20.0,tech,python,2.0,5.0,5.0,5.0,5.0,5.0,very difficult,remote work,male,23,United states,bachelors,asian or asian american
6/10/2022,16:26,0:01:26,data analyst,yes,53.0,healthcare,excel,3.0,10.0,9.0,10.0,5.0,0.0,neither easy nor difficult,better salary,female,25,United states,bachelors,asian or asian american
6/10/2022,16:30,0:01:54,data analyst,yes,20.0,tech,python,4.0,4.0,4.0,5.0,2.0,1.0,difficult,better salary,male,29,Iran,masters,white or caucasian
6/10/2022,16:33,0:02:16,analytics engineer,yes,53.0,healthcare,r,5.0,7.0,9.0,8.0,8.0,8.0,neither easy nor difficult,better salary,female,29,United states,masters,black or african american
6/10/2022,16:36,0:01:45,data analyst,yes,20.0,tech,r,3.0,4.0,4.0,4.0,4.0,2.0,easy,better salary,male,31,India,masters,asian or asian american
6/10/2022,16:38,0:01:33,student/looking/none,no,20.0,real estate,r,0.0,5.0,0.0,0.0,0.0,0.0,very difficult,remote work,male,34,South africa,high school,black or african american
6/10/2022,16:40,0:02:04,data analyst,yes,20.0,tech,python,3.0,2.0,4.0,3.0,7.0,8.0,easy,good work/life balance,male,26,Bangladesh,bachelors,bangladeshi
6/10/2022,16:44,0:01:34,jr. data scientist,no,95.5,healthcare,python,4.0,6.0,5.0,6.0,6.0,4.0,neither easy nor difficult,remote work,female,26,United states,bachelors,white or caucasian
6/10/2022,16:49,0:02:55,continuous quality improvement specialist,yes,53.0,law enforcement,dax,3.0,6.0,9.0,6.0,5.0,10.0,difficult,mentorship from leading data analyst,male,27,United states,masters,black or african american
6/10/2022,16:52,0:01:42,data analyst,yes,75.5,last mile delivery logistics,python,8.0,5.0,9.0,6.0,6.0,10.0,neither easy nor difficult,remote work,male,26,United states,bachelors,white or caucasian
6/10/2022,16:53,0:03:01,student/looking/none,yes,20.0,tech,python,4.0,5.0,4.0,4.0,3.0,4.0,very difficult,better salary,female,26,United states,masters,asian or asian american
6/10/2022,17:01,0:01:18,data analyst,yes,53.0,finance,r,2.0,5.0,5.0,5.0,4.0,5.0,easy,better salary,male,24,United states,bachelors,white or caucasian
6/10/2022,17:06,0:02:18,data analyst,yes,95.5,retail,python,4.0,6.0,3.0,4.0,4.0,2.0,easy,better salary,female,28,Ireland,masters,indian
6/10/2022,17:09,0:01:18,data analyst,yes,115.5,manufacturing,r,8.0,8.0,10.0,9.0,7.0,5.0,easy,better salary,male,29,United states,bachelors,white or caucasian
6/10/2022,17:13,0:01:02,data analyst,yes,75.5,finance,python,3.0,2.0,1.0,1.0,0.0,2.0,very difficult,better salary,female,26,United states,masters,asian or asian american
6/10/2022,17:40,0:01:19,data analyst,yes,53.0,arrosp,python,3.0,5.0,3.0,3.0,1.0,1.0,neither easy nor difficult,better salary,male,28,United kingdom,bachelors,white or caucasian
6/10/2022,17:41,0:04:19,data analyst,no,20.0,finance,python,6.0,8.0,7.0,6.0,2.0,4.0,easy,intresting work,male,25,France,masters,white or caucasian
6/10/2022,17:47,0:01:30,data analyst,yes,75.5,finance,r,5.0,7.0,7.0,3.0,7.0,9.0,difficult,better salary,female,26,United states,bachelors,asian or asian american
6/10/2022,18:00,0:05:36,data engineer,yes,137.5,healthcare,python,6.0,3.0,9.0,5.0,8.0,8.0,neither easy nor difficult,remote work,female,38,United states,masters,white or caucasian
